bact.trt,Plant,Wt,Block,host.trt,species,n.strains,nodulation,rhiz.strain,rhiz.genus,bact.div
16,A,0.79,D,sal,sal,1,3,D4,sino,1
16,B,NA,C,sal,sal,1,NA,D4,sino,1
17,A,0.11,F,sten,sten,2,0,A1, A4,brady,1
17,B,0.2,F,sten,sten,2,0,A1, A4,brady,1
17,B,0.13,C,sten,sten,2,0,A1, A4,brady,1
17,A,0.1,C,sal&sten,sten,2,0,A1, A4,brady,1
17,B,0.1,C,sal&sten,sal,2,0,A1, A4,brady,1
17,A,0.12,D,sal&sten,sten,2,1,A1, A4,brady,1
17,B,0.08,D,sal&sten,sal,2,0,A1, A4,brady,1
17,A,0.09,E,sal&sten,sten,2,0,A1, A4,brady,1
17,A,0.06,D,sten,sten,2,0,A1, A4,brady,1
17,B,0.17,D,sten,sten,2,0,A1, A4,brady,1
17,A,0.02,E,sten,sten,2,0,A1, A4,brady,1
17,B,0.1,E,sten,sten,2,0,A1, A4,brady,1
17,A,0.12,A,sal&sten,sten,2,1,A1, A4,brady,1
17,B,2.75,A,sal&sten,sal,2,4,A1, A4,brady,1
17,A,0.11,B,sal&sten,sten,2,0,A1, A4,brady,1
17,B,0.16,B,sal&sten,sal,2,0,A1, A4,brady,1
17,A,0.01,A,sten,sten,2,0,A1, A4,brady,1
17,B,0.19,A,sten,sten,2,0,A1, A4,brady,1
17,A,0.12,B,sten,sten,2,0,A1, A4,brady,1
17,B,0.13,B,sten,sten,2,0,A1, A4,brady,1
17,A,0.1,C,sten,sten,2,0,A1, A4,brady,1
17,A,0.31,A,sal,sal,2,3,A1, A4,brady,1
17,B,0.08,A,sal,sal,2,0,A1, A4,brady,1
17,A,0.31,B,sal,sal,2,2,A1, A4,brady,1
17,B,0.67,B,sal,sal,2,3,A1, A4,brady,1
17,A,3.06,C,sal,sal,2,5,A1, A4,brady,1
17,B,3.88,C,sal,sal,2,4,A1, A4,brady,1
17,A,0.08,D,sal,sal,2,0,A1, A4,brady,1
17,B,0.09,D,sal,sal,2,0,A1, A4,brady,1
17,A,1.43,E,sal,sal,2,4,A1, A4,brady,1
17,B,0.01,E,sal,sal,2,0,A1, A4,brady,1
17,A,0.32,F,sal,sal,2,2,A1, A4,brady,1
17,B,2.12,F,sal,sal,2,4,A1, A4,brady,1
17,B,2.07,F,sal&sten,sal,2,4,A1, A4,brady,1
17,B,0.17,E,sal&sten,sal,2,0,A1, A4,brady,1
17,A,0.16,F,sal&sten,sten,2,0,A1, A4,brady,1
18,A,0.26,D,sten,sten,2,1,A3, A2,brady,1
18,B,0.12,C,sten,sten,2,0,A3, A2,brady,1
18,A,0.22,F,sten,sten,2,2,A3, A2,brady,1
18,B,0.21,F,sten,sten,2,4,A3, A2,brady,1
18,B,0.13,D,sal,sal,2,2,A3, A2,brady,1
18,A,1.34,E,sal,sal,2,3,A3, A2,brady,1
18,B,3.34,E,sal,sal,2,4,A3, A2,brady,1
18,A,0.16,F,sal,sal,2,1,A3, A2,brady,1
18,B,4.41,F,sal,sal,2,5,A3, A2,brady,1
18,B,1.9,D,sal&sten,sal,2,4,A3, A2,brady,1
18,A,0.22,E,sal&sten,sten,2,3,A3, A2,brady,1
18,B,3.51,E,sal&sten,sal,2,5,A3, A2,brady,1
18,B,1.1,D,sten,sten,2,3,A3, A2,brady,1
18,A,0.22,E,sten,sten,2,3,A3, A2,brady,1
18,B,1.06,E,sten,sten,2,3,A3, A2,brady,1
18,A,1.86,A,sal&sten,sten,2,3,A3, A2,brady,1
18,B,2.01,A,sal&sten,sal,2,5,A3, A2,brady,1
18,A,0.42,B,sal&sten,sten,2,3,A3, A2,brady,1
18,B,1.8,B,sal&sten,sal,2,4,A3, A2,brady,1
18,A,0.29,C,sal&sten,sten,2,1,A3, A2,brady,1
18,B,1.25,C,sal&sten,sal,2,4,A3, A2,brady,1
18,A,0.06,D,sal&sten,sten,2,0,A3, A2,brady,1
18,B,0.65,B,sten,sten,2,3,A3, A2,brady,1
18,A,0.32,C,sten,sten,2,1,A3, A2,brady,1
18,A,3.54,A,sal,sal,2,5,A3, A2,brady,1
18,A,0.2,F,sal&sten,sten,2,0,A3, A2,brady,1
18,B,2.72,F,sal&sten,sal,2,1,A3, A2,brady,1
18,B,0.68,B,sal,sal,2,3,A3, A2,brady,1
18,A,0.75,C,sal,sal,2,2,A3, A2,brady,1
18,B,0.31,C,sal,sal,2,1,A3, A2,brady,1
18,A,0.2,D,sal,sal,2,2,A3, A2,brady,1
18,A,3.09,B,sal,sal,2,4,A3, A2,brady,1
18,A,1.43,A,sten,sten,2,4,A3, A2,brady,1
18,B,0.54,A,sten,sten,2,3,A3, A2,brady,1
18,A,0.15,B,sten,sten,2,1,A3, A2,brady,1
18,B,3.4,A,sal,sal,2,5,A3, A2,brady,1
19,A,0.07,C,sal&sten,sten,2,0,B4, B2,meso,1
19,A,0.14,D,sten,sten,2,0,B4, B2,meso,1
19,B,0.13,D,sten,sten,2,0,B4, B2,meso,1
19,B,0.08,C,sten,sten,2,0,B4, B2,meso,1
19,A,0.07,A,sal&sten,sten,2,0,B4, B2,meso,1
19,B,0.1,A,sal&sten,sal,2,0,B4, B2,meso,1
19,A,0.23,B,sal&sten,sten,2,0,B4, B2,meso,1
19,B,0.052,B,sal&sten,sal,2,0,B4, B2,meso,1
19,A,0.08,A,sten,sten,2,0,B4, B2,meso,1
19,B,0.34,A,sten,sten,2,0,B4, B2,meso,1
19,A,0.0815,B,sten,sten,2,0,B4, B2,meso,1
19,B,0.0988,B,sten,sten,2,0,B4, B2,meso,1
19,A,NA,C,sten,sten,2,0,B4, B2,meso,1
19,A,0.16,A,sal,sal,2,0,B4, B2,meso,1
19,B,0.08,A,sal,sal,2,0,B4, B2,meso,1
19,A,0.09,B,sal,sal,2,0,B4, B2,meso,1
19,B,0.11,B,sal,sal,2,0,B4, B2,meso,1
19,A,0.11,C,sal,sal,2,1,B4, B2,meso,1
19,A,0.11,E,sten,sten,2,0,B4, B2,meso,1
